feature,importance
1760284592_P2_19torsk_lognorm_v2,0.688249106716071
1760284592_P4_18Boating,0.11033878885903052
1760284592_P0_20sill_lognorm_v2,0.10489609065704324
1760284592_P1_21skarpsill_lognorm_v2,0.09618193396599754
1760284592_P3_17Noise_2000Hz_Shipping_20181122,0.00033407980185773303
